Marca;Categoria;Material;Equipos de Tecnologia;"Aplica IVA";"Precio sin IVA";IVA;"Precio con IVA";"Descuento Claro por Pago de Contado Claro";"Pago Contado";"Total pago inicial IVA incluido";Saldo a diferir;Valor de cuota 6 Meses;Valor de cuota 12 Meses;Valor de cuota 18 Meses;Valor de cuota 24 Meses;Valor de cuota 36 Meses
Combo 2Unid Redmi 15C 128Gb 4G Azul;4G;;Si Aplica;;$ 999,900;$ 130,000;$ 869,900;$ 869,900;;$ 922,900;$ 53,000;$ 869,900;$ 869,900;;$ 888,900;$ 54,000;$ 834,900;$ 834,900;;SMARTPHONE;$ 80,000;$ 869,900;$ 0;$ 0;$ 35,000; 2 ;COMBO 2UNID REDMI 15C 128GB 4G;581;$ 0;$ 0
Combo 2Unid Redmi 15C 128Gb 4G Negro;4G;;Si Aplica;;$ 999,900;$ 130,000;$ 869,900;$ 869,900;;$ 922,900;$ 53,000;$ 869,900;$ 869,900;;$ 888,900;$ 54,000;$ 834,900;$ 834,900;;SMARTPHONE;$ 80,000;$ 869,900;$ 0;$ 0;$ 35,000; 1 ;COMBO 2UNID REDMI 15C 128GB 4G;581;$ 0;$ 0
Combo Honorable 200Smart256Gb+Padx8A;5G;;Si Aplica;;$ 1,129,900;$ 130,000;$ 999,900;$ 999,900;;$ 1,059,900;$ 60,000;$ 999,900;$ 999,900;;$ 1,019,900;$ 60,000;$ 959,900;$ 959,900;;SMARTPHONE;$ 0;$ 999,900;$ 0;$ 0;$ 40,000; 1 ;ComboHon200Smar256G+Padx8A+Spk;33;$ 0;$ 0
Honor Magic 6 Lite 256Gb Negro;5G;;Si Aplica;;$ 1,073,900;$ 0;$ 1,073,900;$ 1,073,900;;$ 1,073,900;$ 0;$ 1,073,900;$ 1,073,900;;$ 1,073,900;$ 0;$ 1,073,900;$ 1,073,900;;SMARTPHONE;$ 0;$ 1,073,900;$ 0;$ 0;$ 0; 1 ;Honor Magic 6 Lite 256Gb;5;$ 0;$ 0
Honor X5B 128Gb Azul;4G;;Si Aplica;;$ 315,900;$ 0;$ 315,900;$ 315,900;;$ 315,900;$ 0;$ 315,900;$ 315,900;;$ 315,900;$ 0;$ 315,900;$ 315,900;;SMARTPHONE;$ 44,000;$ 315,900;$ 0;$ 0;$ 0; 2 ;Honor X5B 128Gb;93;$ 0;$ 0
Huawei Pura 70 Pro 512Gb Negro;4.5G+;;Si Aplica;;$ 3,359,900;$ 0;$ 2,823,445;$ 3,359,900;;$ 3,359,900;$ 0;$ 2,823,445;$ 3,359,900;;$ 3,359,900;$ 0;$ 2,823,445;$ 3,359,900;;SMARTPHONE;$ 0;$ 3,359,900;$ 0;$ 0;$ 0; 1 ;Huawei Pura 70 Pro 512GB;#N/D;$ 0;$ 0
Motorola Moto G06 128Gb Azul;4G;;Si Aplica;;$ 506,900;$ 57,000;$ 449,900;$ 449,900;;$ 476,900;$ 27,000;$ 449,900;$ 449,900;;$ 458,900;$ 27,000;$ 431,900;$ 431,900;;SMARTPHONE;$ 0;$ 449,900;$ 0;$ 0;$ 18,000; 1 ;MOTOROLA MOTO G06 128GB;5904;$ 0;$ 0
Oppo Reno 14F 256Gb 5G Azul;5G;;Si Aplica;;$ 2,603,900;$ 255,500;$ 1,932,651;$ 2,299,855;;$ 2,483,900;$ 155,000;$ 1,932,311;$ 2,299,450;;$ 2,391,900;$ 155,000;$ 1,855,000;$ 2,207,450;;SMARTPHONE;-$ 99,670;$ 2,299,855;$ 0;$ 405;$ 92,000; 1 ;OPPO RENO 14F 256GB 5G;536;$ 0;$ 0
Samsung Galaxy A36 256Gb Azul;5G;;Si Aplica;;$ 1,149,950;$ 0;$ 1,149,950;$ 1,149,950;;$ 1,149,950;$ 0;$ 1,149,950;$ 1,149,950;;$ 1,103,950;$ 0;$ 1,103,950;$ 1,103,950;;SMARTPHONE;$ 0;$ 1,149,950;$ 0;$ 0;$ 46,000; 1 ;SAMSUNG GALAXY A36 256GB;16216;$ 0;$ 0
Zte Nubia Focus 2 256Gb 5G Azul;5G;;Si Aplica;;$ 734,900;$ 85,000;$ 649,900;$ 649,900;;$ 688,900;$ 39,000;$ 649,900;$ 649,900;;$ 662,900;$ 39,000;$ 623,900;$ 623,900;;SMARTPHONE;$ 0;$ 649,900;$ 0;$ 0;$ 26,000; 2 ;Zte NUBIA FOCUS 2 256GB;1347;$ 0;$ 0
